,long,lat,unique_squirrel_id,hectare,shift,date,hectare_squirrel_number,age,primary_fur_color,highlight_fur_color,combination_of_primary_and_highlight_color,color_notes,location,above_ground_sighter_measurement,specific_location,running,chasing,climbing,eating,foraging,other_activities,kuks,quaas,moans,tail_flags,tail_twitches,approaches,indifferent,runs_from,other_interactions,lat_long,zip_codes,community_districts,borough_boundaries,city_council_districts,police_precincts
2713,-73.9600739,40.79383288,35C-PM-1013-08,35C,PM,10132018,8,,,,+,,,,,0,0,0,0,0,,1,0,0,0,0,0,0,0,did not *see*,POINT (-73.9600738985438 40.7938328798752),,19,4,19,13
2722,-73.9606426,40.79172654,32D-PM-1006-08,32D,PM,10062018,8,Juvenile,Gray,"Black, Cinnamon, White","Gray+Black, Cinnamon, White",,Ground Plane,FALSE,,0,0,0,1,0,,0,0,0,0,1,0,0,0,stand on two feet and watching me,POINT (-73.960642602756 40.7917265419842),,19,4,19,13
2728,-73.96154292,40.79074176,31D-AM-1014-01,31D,AM,10142018,1,,Gray,Cinnamon,Gray+Cinnamon,,Above Ground,20,Ground then up tree,0,0,1,0,0,chased by a doggo,0,0,1,0,0,0,0,1,runs from (dogs!),POINT (-73.9615429203441 40.7907417648701),,19,4,19,13
2763,-73.9692661,40.78305323,21B-PM-1017-01,21B,PM,10172018,1,Juvenile,Cinnamon,White,Cinnamon+White,,Ground Plane,FALSE,,0,0,0,1,0,,0,0,0,0,0,0,0,0,paused to look at me,POINT (-73.9692660977515 40.7830532310766),,19,4,19,13
2769,-73.96379835,40.78287125,23F-PM-1013-04,23F,PM,10132018,4,Adult,Gray,"Cinnamon, White","Gray+Cinnamon, White","Gray & Cinnamon selected as Primary: ""much browner, like 1/2 & 1/2"".",Ground Plane,FALSE,,0,0,0,0,1,,0,0,0,0,1,0,1,0,indifferent (busy foraging),POINT (-73.9637983513789 40.7828712516396),,19,4,19,13
2770,-73.97353836,40.77231247,8D-AM-1007-01,08D,AM,10072018,1,Adult,Gray,Cinnamon,Gray+Cinnamon,,Ground Plane,FALSE,,0,0,0,0,1,,0,0,0,0,0,0,1,0,acknowledged me though,POINT (-73.9735383602914 40.7723124703937),,19,4,19,13
2817,-73.96816646,40.77246697,11I-PM-1012-02,11I,PM,10122018,2,Adult,Gray,,Gray+,,Above Ground,4,,1,0,1,0,1,,0,0,0,0,0,0,0,1,runs away from the ball,POINT (-73.9681664642028 40.7724669681958),,19,4,19,13
2819,-73.9615926,40.79442232,35B-PM-1013-05,35B,PM,10132018,5,Adult,Gray,,Gray+,,Ground Plane,FALSE,,1,0,1,0,0,chased by dog #2,1,0,0,0,0,0,0,1,runs from (dog),POINT (-73.96159260312531 40.7944223235385),,19,4,19,13
2861,-73.96746672,40.78243465,21D-PM-1008-04,21D,PM,10082018,4,Juvenile,Gray,"Cinnamon, White","Gray+Cinnamon, White",,Above Ground,4,,0,0,0,1,0,,0,0,0,0,0,0,0,1,i scared it,POINT (-73.967466716152 40.7824346548278),,19,4,19,13
2878,-73.97440807,40.77315157,9C-PM-1006-07,09C,PM,10062018,7,Adult,Black,"Cinnamon, White","Black+Cinnamon, White",,Ground Plane,FALSE,on top of tarped sand pile,0,0,0,1,0,,0,0,0,0,0,0,0,1,(me),POINT (-73.9744080700098 40.7731515721826),,19,4,19,13
2932,-73.96779032,40.78265619,21C-AM-1014-03,21C,AM,10142018,3,Adult,Gray,,Gray+,,Above Ground,30,,0,1,1,0,0,,0,1,0,0,0,0,0,0,looked at us from tree,POINT (-73.9677903197449 40.7826561917755),,19,4,19,13
2958,-73.97479632,40.77450234,10B-PM-1014-04,10B,PM,10142018,4,Adult,Gray,White,Gray+White,,Ground Plane,FALSE,,0,0,0,1,1,,0,0,0,0,0,0,0,0,avoided people,POINT (-73.9747963162162 40.7745023355775),,19,4,19,13
3009,-73.95809068,40.79484041,37D-PM-1014-01,37D,PM,10142018,1,Adult,Gray,Cinnamon,Gray+Cinnamon,,Ground Plane,FALSE,,0,0,0,0,1,,0,0,0,0,0,0,0,1,eyes from a safe distance,POINT (-73.9580906814132 40.7948404060484),,19,4,19,13
3010,-73.96788313,40.7847606,23B-PM-1012-06,23B,PM,10122018,6,Adult,Gray,,Gray+,,Above Ground,30,,0,0,0,0,0,,1,0,0,0,0,0,0,0,scolding,POINT (-73.9678831312936 40.7847605974975),,19,4,19,13
3011,-73.9613702,40.79433632,35B-PM-1013-04,35B,PM,10132018,4,Adult,Gray,,Gray+,,Ground Plane,FALSE,,1,0,1,0,1,"got threatened by dog (same dog,dog #1)",0,0,0,0,0,0,0,1,runs from (dog),POINT (-73.9613701960898 40.7943363227822),,19,4,19,13
